Date,Race,Track,Winner,Margin,SP,Race Grade,Jockey,Trainer
3/9/1988,Memsie Stakes,Caulfield,Rancho Ruler,0.4,$3F,G2,Darren Gauci,Jim Marconi
3/9/1988,Farnley Stakes,Belmont,Medicine Kid,3.25,$2.25F,LR,Mark Sestich,Ross Price
6/9/1988,Burgess Queen Stakes,Belmont,Prospect Sky,1,$5.50 ,LR,Jeff Berry,Allen McNamara
7/9/1988,Seymour Cup,Seymour,Water Boatman,1,$4EF,LR,Michael Clarke,Colin Hayes
10/9/1988,Leon MacDonald Stakes,Victoria Park,Wolveraction,0.4,$7 ,G3,Peter Hutchinson,Colin Hayes
10/9/1988,Gloaming Stakes,Rosehill,Run Straight Run,0.5,$4.25F,G2,Neil Williams,Fred Wilson
10/9/1988,Kingston Town Stakes,Rosehill,Kruthoffer,0.1,$2.10F,G2,Noel Barker,Tommy Smith
10/9/1988,Theo Marks Stakes,Rosehill,Targlish,0.5,$4F,G2,Wayne Harris,Jack Paton
10/9/1988,Bobbie Lewis Quality,Flemington,Placid Ark,0.4,$5 ,G3,Vaughn Sigley,Wally Mitchell
10/9/1988,Coolmore Stud Stakes,Flemington,Zeditave,0.2,$4.75 ,G2,Greg Hall,Angus Armanasco
10/9/1988,Let's Elope Stakes,Flemington,Riva Gleam,1,$4F,LR,Neville Wilson,Matthew Williams
10/9/1988,Makybe Diva Stakes,Flemington,High Regard,1,$16 ,G2,Wayne Treloar,Trevor Harper
13/9/1988,Cameron Handicap,Newcastle,Windsor's Pal,1.5,$8 ,LR,Darren Beadman,Bede Murray
14/9/1988,Newcastle Gold Cup,Newcastle,Eye Of The Sky,1,$21 ,G2,Wayne Harris,Neville Begg
14/9/1988,Spring Stakes,Newcastle,Royal Pardon,0.2,$4.50 ,LR,John Marshall,Bart Cummings
17/9/1988,Heritage Stakes,Rosehill,Alpine Flyer,0.4,$4.50EF,LR,Nigel Tiley,Paul Sutherland
17/9/1988,Hill Stakes,Rosehill,Natural Habit,2.3,$11 ,G2,Mick Dittman,Bob Thomsen
17/9/1988,Shannon Stakes,Rosehill,Never Quit,5.3,$1.40F,G3,Wayne Harris,Neville Begg
17/9/1988,Tea Rose Stakes,Rosehill,Glenview,0.2,$2.40 ,G2,John Marshall,Bart Cummings
17/9/1988,Morphettville Guineas,Morphettville,Some Path,0.8,$2F,LR,Alf Matthews,Christine Wort
17/9/1988,Red Anchor Stakes,Moonee Valley,Clay Hero,0.8,$2F,LR,Darren Gauci,Rick Hore-Lacy
17/9/1988,Scarborough Stakes,Moonee Valley,Startling Lass,3.5,$2F,G2,Brent Thomson,Jack Denham
17/9/1988,Belmont Park Cup,Belmont,Zemindar,2.3,$11 ,LR,Gerry Donnelly,Len Morton
17/9/1988,WATC Challenge Stakes,Belmont,Perfect Answer,0.8,$7.50 ,LR,Stephen Miller,Steve Wallace
22/9/1988,Caulfield Guineas Prelude,Caulfield,Kingston Heritage,0.2,$1.75F,LR,Greg Hall,Geoff Murphy
