YEAR,RACE,TRACK,DISTANCE,WINNER,TRAINER,JOCKEY,COUNTRY,,,,,,,,,
1823,UK 1000 GUINEAS,NEWMARKET,1600,Zinc,Robert Robson,Frank Buckle,ENGLAND,,,,,,,,,
1823,UK 2000 GUINEAS,NEWMARKET,1600,Nicolo,Joe Rogers,Will Wheatley,ENGLAND,,,,,,,,,
1824,ASCOT GOLD CUP,ASCOT (UK),4000,Bizarre,Dixon Boyce,Bill Arnull,ENGLAND,,,,,,,,,
1824,EPSOM DERBY,EPSOM,2420,Cedric,James Edwards,Jem Robinson,ENGLAND,,,,,,,,,
1824,EPSOM OAKS,EPSOM,2420,Cobweb,James Edwards,Jem Robinson,ENGLAND,,,,,,,,,
1824,ST LEGER,DONCASTER,2921,Jerry,James Croft,Ben Smith,ENGLAND,,,,,,,,,
1824,UK 1000 GUINEAS,NEWMARKET,1600,Cobweb,James Edwards,Jem Robinson,ENGLAND,,,,,,,,,
1824,UK 2000 GUINEAS,NEWMARKET,1600,Schahriar,,Will Wheatley,ENGLAND,,,,,,,,,
1825,ASCOT GOLD CUP,ASCOT (UK),4000,Bizarre,Dixon Boyce,Bill Arnull,ENGLAND,,,,,,,,,
1825,EPSOM DERBY,EPSOM,2420,Middleton,James Edwards,Jem Robinson,ENGLAND,,,,,,,,,
1825,EPSOM OAKS,EPSOM,2420,Wings,Robert Robson,Sam Chifney Jnr,ENGLAND,,,,,,,,,
1825,ST LEGER,DONCASTER,2921,Memnon,Richard Shepherd,Bill Scott,ENGLAND,,,,,,,,,
1825,UK 1000 GUINEAS,NEWMARKET,1600,Tontine,Robert Robson,Frank Buckle,ENGLAND,,,,,,,,,
1825,UK 2000 GUINEAS,NEWMARKET,1600,Enamel,Charles Marson,Jem Robinson,ENGLAND,,,,,,,,,
1826,ASCOT GOLD CUP,ASCOT (UK),4000,Chateau Margaux,R Stephenson,George Dockeray,ENGLAND,,,,,,,,,
1826,EPSOM DERBY,EPSOM,2420,Lap-dog,R Stephenson,George Dockeray,ENGLAND,,,,,,,,,
1826,EPSOM OAKS,EPSOM,2420,Lilias,John Forth,Tommy Lye,ENGLAND,,,,,,,,,
1826,ST LEGER,DONCASTER,2921,Tarrare,Sam King,George Nelson,ENGLAND,,,,,,,,,
1826,UK 1000 GUINEAS,NEWMARKET,1600,Problem,Robert Robson,John Barham Day,ENGLAND,,,,,,,,,
1826,UK 2000 GUINEAS,NEWMARKET,1600,Dervise,Robert Robson,John Barham Day,ENGLAND,,,,,,,,,
1827,ASCOT GOLD CUP,ASCOT (UK),4000,Memnon,William Chifney,Sam Chifney Jnr,ENGLAND,,,,,,,,,
1827,EPSOM DERBY,EPSOM,2420,Mameluke,James Edwards,Jem Robinson,ENGLAND,,,,,,,,,
1827,EPSOM OAKS,EPSOM,2420,Gulnare,John Kent,Frank Boyce,ENGLAND,,,,,,,,,
1827,ST LEGER,DONCASTER,2921,Matilda,John Scott,Jem Robinson,ENGLAND,,,,,,,,,
1827,UK 1000 GUINEAS,NEWMARKET,1600,Arab,Robert Robson,Frank Buckle,ENGLAND,,,,,,,,,
1827,UK 2000 GUINEAS,NEWMARKET,1600,Turcoman,Robert Robson,Frank Buckle,ENGLAND,,,,,,,,,
1828,ASCOT GOLD CUP,ASCOT (UK),4000,Bobadilla,Robert Pettit,Thomas Lye,ENGLAND,,,,,,,,,
1828,EPSOM DERBY,EPSOM,2420,Cadland,Dixon Boyce,Jem Robinson,ENGLAND,,,,,,,,,
1828,EPSOM OAKS,EPSOM,2420,Turquoise,Robert Stephenson,John Barham Day,ENGLAND,,,,,,,,,
1828,ST LEGER,DONCASTER,2921,The Colonel,John Scott,Bill Scott,ENGLAND,,,,,,,,,
1828,UK 1000 GUINEAS,NEWMARKET,1600,Zoe,Bobby Pettit,Jem Robinson,ENGLAND,,,,,,,,,
1828,UK 2000 GUINEAS,NEWMARKET,1600,Cadland,Dixon Boyce,Jem Robinson,ENGLAND,,,,,,,,,
1829,ASCOT GOLD CUP,ASCOT (UK),4000,Zinganee,William Chifney,Sam Chifney Jnr,ENGLAND,,,,,,,,,
1829,EPSOM DERBY,EPSOM,2420,Frederick,John Forth,John Forth,ENGLAND,,,,,,,,,
1829,EPSOM OAKS,EPSOM,2420,Green Mantle,Charles Marson,George Dockeray,ENGLAND,,,,,,,,,
1829,ST LEGER,DONCASTER,2921,Rowton,John Scott,Bill Scott,ENGLAND,,,,,,,,,
1829,UK 1000 GUINEAS,NEWMARKET,1600,Young Mouse,Dixon Boyce,Bill Arnull,ENGLAND,,,,,,,,,
1829,UK 2000 GUINEAS,NEWMARKET,1600,Patron,Charles Marson,Frank Boyce,ENGLAND,,,,,,,,,
