Player,Team
Finlay Macrae,West Coast
Fred Rodriguez,West Coast
Hamish Davis,West Coast
Harley Reid,West Coast
Harry Barnett,West Coast
Harry Edwards,West Coast
Harry Schoenberg,West Coast
Harvey Johnston,West Coast
Jack Graham,West Coast
Jack Hutchinson,West Coast
Jack Williams,West Coast
Jacob Newton,West Coast
Jake Waterman,West Coast
Jamie Cripps,West Coast
Jobe Shanahan,West Coast
Josh Lindsay,West Coast
Liam Baker,West Coast
Liam Duggan,West Coast
Lucca Grego,West Coast
Malakai Champion,West Coast
Matt Flynn,West Coast
Matthew Owies,West Coast
Milan Murdock,West Coast
Noah Long,West Coast
Reuben Ginbey,West Coast
Rhett Bazzo,West Coast
Ryan Maric,West Coast
Sam Allen,West Coast
Sandy Brock,West Coast
Tim Kelly,West Coast
Tom Cole,West Coast
Tom Gross,West Coast
Tom McCarthy,West Coast
Tylah Williams,West Coast
Tylar Young,West Coast
Tyler Brockman,West Coast
Tyrell Dewar,West Coast
Willem Duursma,West Coast
Aaron Naughton,Western Bulldogs
Adam Treloar,Western Bulldogs
Arthur Jones,Western Bulldogs
Bailey Dale,Western Bulldogs
Bailey Williams,Western Bulldogs
Buku Khamis,Western Bulldogs
Cody Weightman,Western Bulldogs
Connor Budarick,Western Bulldogs
Cooper Hynes,Western Bulldogs
Ed Richards,Western Bulldogs
Harvey Gallagher,Western Bulldogs
James Harmes,Western Bulldogs
James O'Donnell,Western Bulldogs
Jedd Busslinger,Western Bulldogs
Joel Freijah,Western Bulldogs
Jordan Croft,Western Bulldogs
Josh Dolan,Western Bulldogs
Lachie Jaques,Western Bulldogs
Lachlan Bramble,Western Bulldogs
Lachlan Carmichael,Western Bulldogs
Lachlan McNeil,Western Bulldogs
Lachlan Smith,Western Bulldogs
Laitham Vandermeer,Western Bulldogs
Louis Emmett,Western Bulldogs
Luke Cleary,Western Bulldogs
Luke Kennedy,Western Bulldogs
Marcus Bontempelli,Western Bulldogs
Matthew Kennedy,Western Bulldogs
Michael Sellwood,Western Bulldogs
Nick Coffield,Western Bulldogs
Oskar Baker,Western Bulldogs
Rhylee West,Western Bulldogs
Riley Garcia,Western Bulldogs
Rory Lobb,Western Bulldogs
Ryan Gardner,Western Bulldogs
Ryley Sanders,Western Bulldogs
Sam Darcy,Western Bulldogs
Sam Davidson,Western Bulldogs
Tim English,Western Bulldogs
Tom Liberatore,Western Bulldogs
Will Darcy,Western Bulldogs
Zac Walker,Western Bulldogs
Will Lewis,Western Bulldogs
